filepath,label_name,label_idx
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Sandra Bullock/099_d22b8b8b.jpg,Sandra Bullock,12
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Scarlett Johansson/144_99c39c61.jpg,Scarlett Johansson,13
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Scarlett Johansson/178_db9db324.jpg,Scarlett Johansson,13
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Jennifer Lawrence/007_72ad75ba.jpg,Jennifer Lawrence,4
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Tom Hanks/033_71aad839.jpg,Tom Hanks,15
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Megan Fox/061_d844ec74.jpg,Megan Fox,8
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Hugh Jackman/050_509d326a.jpg,Hugh Jackman,3
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Megan Fox/095_fc25a60b.jpg,Megan Fox,8
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Natalie Portman/065_3fcffc66.jpg,Natalie Portman,9
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Jennifer Lawrence/078_d1d62b6f.jpg,Jennifer Lawrence,4
/home/tony/.cache/kagglehub/datasets/vishesh1412/celebrity-face-image-dataset/versions/1/Celebrity Faces Dataset/Leonardo DiCaprio/078_a7fd9be1.jpg,Leonardo DiCaprio,7
